X,Y,Z,Red,Green,Blue,Classification,Classification Name
315000.27,6398913.67,16.62,0,0,0,1,Unclassified
315000.29,6398915.00,17.61,0,0,0,1,Unclassified
315000.35,6398916.42,18.17,0,0,0,1,Unclassified
315000.15,6398910.47,23.28,0,0,0,1,Unclassified
315000.35,6398909.64,19.92,0,0,0,1,Unclassified
315000.19,6398908.01,20.35,0,0,0,1,Unclassified
315000.42,6398903.31,13.20,0,0,0,1,Unclassified
315000.30,6398901.76,13.14,0,0,0,2,Ground
315000.19,6398900.21,13.13,0,0,0,2,Ground
315000.08,6398898.67,12.98,0,0,0,2,Ground
315000.07,6398882.83,12.73,0,0,0,2,Ground
315000.19,6398884.43,12.72,0,0,0,2,Ground
315000.31,6398886.01,12.69,0,0,0,2,Ground
315000.44,6398887.60,12.66,0,0,0,2,Ground
315000.19,6398894.96,22.89,0,0,0,1,Unclassified
315000.19,6398896.29,24.00,0,0,0,1,Unclassified
315000.18,6398897.57,25.34,0,0,0,1,Unclassified
315000.17,6398898.84,26.70,0,0,0,1,Unclassified
315000.27,6398900.35,26.94,0,0,0,1,Unclassified
315000.34,6398901.78,27.46,0,0,0,1,Unclassified
315000.33,6398879.57,13.18,0,0,0,1,Unclassified
315000.18,6398877.93,13.46,0,0,0,2,Ground
315000.04,6398876.28,13.72,0,0,0,1,Unclassified
315000.05,6398851.45,4.90,0,0,0,2,Ground
315000.14,6398853.03,5.27,0,0,0,2,Ground
315000.18,6398854.51,6.12,0,0,0,2,Ground
315000.28,6398856.09,6.39,0,0,0,2,Ground
315000.41,6398857.71,6.39,0,0,0,2,Ground
315000.44,6398847.06,4.67,0,0,0,2,Ground
315000.33,6398845.44,4.52,0,0,0,2,Ground
315000.21,6398843.80,4.54,0,0,0,2,Ground
315000.09,6398842.15,4.51,0,0,0,2,Ground
315000.11,6398827.29,4.06,0,0,0,2,Ground
315000.24,6398828.96,4.09,0,0,0,2,Ground
315000.06,6398830.05,7.34,0,0,0,1,Unclassified
315000.21,6398831.75,7.12,0,0,0,1,Unclassified
315000.31,6398833.35,7.43,0,0,0,1,Unclassified
315000.44,6398835.00,7.41,0,0,0,1,Unclassified
315000.29,6398822.71,4.62,0,0,0,1,Unclassified
315000.09,6398820.90,5.41,0,0,0,2,Ground
315000.06,6398802.24,2.83,0,0,0,2,Ground
315000.16,6398803.88,3.21,0,0,0,2,Ground
315000.24,6398805.48,3.72,0,0,0,1,Unclassified
315000.31,6398807.07,4.36,0,0,0,1,Unclassified
315000.37,6398808.67,4.95,0,0,0,1,Unclassified
315000.44,6398810.25,5.57,0,0,0,1,Unclassified
315000.37,6398797.22,3.61,0,0,0,1,Unclassified
315000.26,6398791.04,20.04,0,0,0,1,Unclassified
315000.05,6398789.21,20.91,0,0,0,1,Unclassified
315000.07,6398756.02,2.88,0,0,0,2,Ground
315000.01,6398757.46,4.99,0,0,0,1,Unclassified
315000.11,6398759.14,5.42,0,0,0,1,Unclassified
315000.20,6398760.82,5.84,0,0,0,1,Unclassified
315000.00,6398775.56,22.57,0,0,0,1,Unclassified
315000.12,6398777.25,22.66,0,0,0,1,Unclassified
315000.25,6398778.94,22.73,0,0,0,1,Unclassified
315000.39,6398780.68,22.58,0,0,0,1,Unclassified
315000.45,6398770.37,21.01,0,0,0,1,Unclassified
315000.38,6398768.75,20.40,0,0,0,1,Unclassified
315000.38,6398767.25,18.99,0,0,0,1,Unclassified
315000.24,6398750.31,4.55,0,0,0,1,Unclassified
315000.16,6398748.64,4.07,0,0,0,1,Unclassified
315000.13,6398747.05,2.86,0,0,0,2,Ground
315000.00,6398745.31,2.87,0,0,0,2,Ground
315000.25,6398740.83,18.12,0,0,0,1,Unclassified
315000.07,6398739.03,18.66,0,0,0,1,Unclassified
315000.15,6398709.18,2.40,0,0,0,2,Ground
315000.28,6398710.94,2.47,0,0,0,2,Ground
315000.41,6398712.71,2.59,0,0,0,2,Ground
315000.03,6398724.78,18.98,0,0,0,1,Unclassified
315000.16,6398726.52,19.02,0,0,0,1,Unclassified
315000.29,6398728.28,19.05,0,0,0,1,Unclassified
315000.42,6398730.03,18.94,0,0,0,1,Unclassified
315000.38,6398718.84,18.77,0,0,0,1,Unclassified
315000.26,6398717.09,18.67,0,0,0,1,Unclassified
315000.41,6398704.64,4.85,0,0,0,1,Unclassified
315000.35,6398702.96,4.08,0,0,0,1,Unclassified
315000.21,6398701.17,4.13,0,0,0,1,Unclassified
315000.14,6398699.48,3.36,0,0,0,1,Unclassified
315000.14,6398697.86,1.91,0,0,0,2,Ground
315000.01,6398696.08,1.93,0,0,0,2,Ground
315000.13,6398683.64,1.81,0,0,0,2,Ground
315000.27,6398685.44,1.83,0,0,0,2,Ground
315000.41,6398687.24,1.79,0,0,0,2,Ground
315000.39,6398677.65,1.87,0,0,0,2,Ground
315000.25,6398675.85,1.82,0,0,0,2,Ground
315000.11,6398674.05,1.89,0,0,0,2,Ground
315000.11,6398661.04,1.87,0,0,0,2,Ground
315000.24,6398662.85,1.90,0,0,0,2,Ground
315000.38,6398664.67,1.91,0,0,0,2,Ground
315000.46,6398656.00,1.98,0,0,0,2,Ground
315000.32,6398654.20,1.99,0,0,0,2,Ground
315000.18,6398652.37,1.99,0,0,0,2,Ground
315000.05,6398650.57,1.98,0,0,0,2,Ground
315000.02,6398633.79,2.00,0,0,0,2,Ground
315000.16,6398635.61,2.09,0,0,0,2,Ground
315000.30,6398637.44,2.08,0,0,0,2,Ground
315000.43,6398639.26,2.03,0,0,0,2,Ground
315000.28,6398630.75,3.29,0,0,0,1,Unclassified
315000.10,6398628.89,3.79,0,0,0,1,Unclassified
315000.18,6398614.60,2.04,0,0,0,2,Ground
315000.32,6398616.44,2.03,0,0,0,2,Ground
